default,Identifier,Remarks,hu,it,es esm
Weapons/ammo/stats,CNTRLMNU_STATS,,Armi/ammunizioni/statistiche,Armi/ammunizioni/statistiche,Armas/Munición/Estadísticas
Toggle Scoreboard,CNTRLMNU_TOGGLESCOREBOARD,,Abilita/disabilita tabella punteggio,Abilita/disabilita tabella punteggio,Alternar Marcador
Lookspring,MOUSEMNU_LOOKSPRING,,,,Mirar con ratón
Lookstrafe,MOUSEMNU_LOOKSTRAFE,,,,Mirar con movimiento
,,,,,
Background,MAPCOLORMNU_BACKCOLOR,,Sfondo,Sfondo,Fondo
You,MAPCOLORMNU_YOURCOLOR,,Tu,Tu,Tú
1-sided walls,MAPCOLORMNU_WALLCOLOR,,Muri unilaterali,Muri unilaterali,Paredes de 1 lado
2-sided walls with different floors,MAPCOLORMNU_FDWALLCOLOR,,Muri bilaterali con pavimenti diversi,Muri bilaterali con pavimenti diversi,Paredes de 2 lados con pisos distintos
2-sided walls with different ceilings,MAPCOLORMNU_CDWALLCOLOR,,Muri bilaterali con soffitti diversi,Muri bilaterali con soffitti diversi,Paredes de 2 lados con techos distintos
2-sided walls with 3D floors,MAPCOLORMNU_EFWALLCOLOR,,Muri bilaterali con 3D floor,Muri bilaterali con 3D floor,Paredes de 2 lados con suelos 3D
Map grid,MAPCOLORMNU_GRIDCOLOR,,Griglia mappa,Griglia mappa,Cuadrícula del mapa
Center point,MAPCOLORMNU_XHAIRCOLOR,,Punto centrale,Punto centrale,Punto central
Not-yet-seen walls,MAPCOLORMNU_NOTSEENCOLOR,,Muri ancora da scoprire,Muri ancora da scoprire,Paredes sin ver
Locked doors,MAPCOLORMNU_LOCKEDCOLOR,,Porte bloccate,Porte bloccate,Puertas bloqueadas
Teleporter to the same map,MAPCOLORMNU_INTRALEVELCOLOR,,Teletrasporto nella stessa mappa,Teletrasporto nella stessa mappa,Teletransporte al mismo mapa
Teleporter to a different map,MAPCOLORMNU_INTERLEVELCOLOR,,Teletrasporto in una mappa diversa,Teletrasporto in una mappa diversa,Teletransporte a un mapa diferente
Secret sector,MAPCOLORMNU_SECRETSECTORCOLOR,,Settore segreto,Settore segreto,Sector secreto
Unexplored secret,MAPCOLORMNU_UNEXPLOREDSECRETCOLOR,,Segreto non esplorato,Segreto non esplorato,Secreto sin explorar
Special trigger lines,MAPCOLORMNU_SPECIALWALLCOLOR,,Linee di attivazione speciali,Linee di attivazione speciali,Líneas especiales de activación
Cheat Mode,MAPCOLORMNU_CHEATMODE,,Modalità cheat,Modalità cheat,Modo de truco
Invisible 2-sided walls,MAPCOLORMNU_TSWALLCOLOR,,Muri invisibili bilaterali,Muri invisibili bilaterali,Paredes de 2 lados Invisibles
Secret walls,MAPCOLORMNU_SECRETWALLCOLOR,,Muri segreti,Muri segreti,Paredes secretas
Actors,MAPCOLORMNU_THINGCOLOR,,Attori,Attori,Actores
Monsters,MAPCOLORMNU_MONSTERCOLOR,,Mostri,Mostri,Monstruos
Non-counting Monsters,MAPCOLORMNU_NONCOUNTINGMONSTERCOLOR,,Mostri non contati,Mostri non contati,Monstruos no contados
Friends,MAPCOLORMNU_FRIENDCOLOR,,Amici,Amici,Amigos
Items,MAPCOLORMNU_ITEMCOLOR,,Oggetti,Oggetti,Objetos
Count Items,MAPCOLORMNU_COUNTITEMCOLOR,,Oggetti contati,Oggetti contati,Objetos contados
Overlay Mode,MAPCOLORMNU_OVERLAY,,Modalità sovrapposizione,Modalità sovrapposizione,Modo sobrepuesto
Overlay Cheat Mode,MAPCOLORMNU_OVCHEATMODE,,Modalità cheat sovrapposizione,Modalità cheat sovrapposizione,Sobreposición modo de truco
Portal Overlays,MAPCOLORMNU_PORTAL,,Sovrapposizioni del portale,Sovrapposizioni del portale,Sobreposición de portal
,,,,,
Messages,MSGMNU_TITLE,,Messaggi,Messaggi,Mensajes
Show messages,MSGMNU_SHOWMESSAGES,,Mostra messaggi,Mostra messaggi,Mostrar mensajes
Show obituaries,MSGMNU_SHOWOBITUARIES,,Mostra i necrologi,Mostra i necrologi,Mostrar obituarios
Show secret notifications,MSGMNU_SHOWSECRETS,,Mostra le notifiche dei segreti,Mostra le notifiche dei segreti,Mostrar notificación de secretos
Minimum message level,MSGMNU_MESSAGELEVEL,,Numero di messaggi minimo,Numero di messaggi minimo,Nivel mínimo de mensaje
Message Colors,MSGMNU_MESSAGECOLORS,,Colore dei messaggi,Colore dei messaggi,Colores de los mensajes
Item Pickup,MSGMNU_ITEMPICKUP,,Raccolta oggetti,Raccolta oggetti,Coger objetos
Obituaries,MSGMNU_OBITUARIES,,Necrologi,Necrologi,Obituarios
Critical Messages,MSGMNU_CRITICALMESSAGES,,Messaggi critici,Messaggi critici,Mensajes críticos
Chat Messages,MSGMNU_CHATMESSAGES,,Messaggi chat,Messaggi chat,Mensajes del chat
Team Messages,MSGMNU_TEAMMESSAGES,,Messaggi chat di squadra,Messaggi chat di squadra,Mensajes del equipo
Centered Messages,MSGMNU_CENTEREDMESSAGES,,Messaggi centrati,Messaggi centrati,Mensajes centrados
Screenshot messages,MSGMNU_SCREENSHOTMESSAGES,,Messaggi di cattura schermo,Messaggi di cattura schermo,Mensajes de captura de pantalla
Detailed save messages,MSGMNU_LONGSAVEMESSAGES,,Messaggi sui dettagli di salvataggio,Messaggi sui dettagli di salvataggio,Mensajes detallados de guardado
Developer message mode,MSGMNU_DEVELOPER,,Modalità messaggi per sviluppatore,Modalità messaggi per sviluppatore,Modo de mensajes de desarrollador
,,,,,
Map color set,AUTOMAPMNU_COLORSET,,Colori della mappa,Colori della mappa,Definir colores
Allow map defined colors,AUTOMAPMNU_CUSTOMCOLORS,,Consenti i colori definiti dalla mappa,Consenti i colori definiti dalla mappa,Permitir colores definidos
Set custom colors,AUTOMAPMNU_SETCUSTOMCOLORS,,Modifica i colori personalizzati,Modifica i colori personalizzati,Fijar colores personalizados
Customize map controls,AUTOMAPMNU_CONTROLS,,Personalizza i controlli mappa,Personalizza i controlli mappa,Personalizar controles del mapa
Overlay automap,AUTOMAPMNU_OVERLAY,,Copri l'automappa,Copri l'automappa,Superponer automapa
Enable textured display,AUTOMAPMNU_TEXTURED,,Abilita la mostra texture,Abilita la mostra texture,Mostrar automapa texturizado
Show item counts,AUTOMAPMNU_SHOWITEMS,,Mostra il conteggio degli oggetti,Mostra il conteggio degli oggetti,Mostrar conteo de objetos
Show monster counts,AUTOMAPMNU_SHOWMONSTERS,,Mostra il conteggio dei mostri,Mostra il conteggio dei mostri,Mostrar conteo de monstruos
Show secret counts,AUTOMAPMNU_SHOWSECRETS,,Mostra il conteggio dei segreti,Mostra il conteggio dei segreti,Mostrar conteo de secretos
Show time elapsed,AUTOMAPMNU_SHOWTIME,,Mostra il tempo trascorso,Mostra il tempo trascorso,Mostrar tiempo transcurrido
Show total time elapsed,AUTOMAPMNU_SHOWTOTALTIME,,Mostra il tempo totale trascorso,Mostra il tempo totale trascorso,Mostrar tiempo total transc.
Show secrets on map,AUTOMAPMNU_MAPSECRETS,,Mostra i segreti nella mappa,Mostra i segreti nella mappa,Mostrar secretos en el mapa
Show map label,AUTOMAPMNU_SHOWMAPLABEL,,Mostra le etichette della mappa,Mostra le etichette della mappa,Mostrar etiqueta del mapa
Draw map background,AUTOMAPMNU_DRAWMAPBACK,,Mostra lo sfondo della mappa,Mostra lo sfondo della mappa,Dibujar fondo de mapa
Show keys (cheat),AUTOMAPMNU_SHOWKEYS,,Mostra le chiavi (cheat),Mostra le chiavi (cheat),Mostrar llaves (truco)
Show trigger lines,AUTOMAPMNU_SHOWTRIGGERLINES,,Mostra le linee d'attivazione,Mostra le linee d'attivazione,Mostrar líneas de activación
Show things as sprites,AUTOMAPMNU_SHOWTHINGSPRITES,,Mostra gli oggetti come sprite,Mostra gli oggetti come sprite,Mostrar cosas como sprites
Overlay portals,AUTOMAPMNU_PTOVERLAY,,Sovrapponi i portali,Sovrapponi i portali,Sobreponer portales
Empty space margin,AUTOMAPMNU_EMPTYSPACEMARGIN,,Margine dello spazio vuoto,Margine dello spazio vuoto,Margen de espacio vacío
Mark font,AUTOMAPMNU_MARKFONT,,Font del segnaposto,Font del segnaposto,Fuente para marcas
Mark color,AUTOMAPMNU_MARKCOLOR,,Colore del segnaposto,Colore del segnaposto,Color de las marcas
Set mark,MAPCNTRLMNU_SETMARK,,Aggiungi segnaposto,Aggiungi segnaposto,Fijar marca
Clear mark,MAPCNTRLMNU_CLEARMARK,,Pulisci il segnaposto,Pulisci il segnaposto,Limpiar marca
,,,,,
Scoreboard Options,DSPLYMNU_SCOREBOARD,,Opzioni tabella punteggio,Opzioni tabella punteggio,Opciones de marcador
Scoreboard Options,SCRBRDMNU_TITLE,,Opzioni per la tabella punteggio,Opzioni per la tabella punteggio,Opciones de marcador
Cooperative Options,SCRBRDMNU_COOPERATIVE,,Opzioni per il gioco cooperativo,Opzioni per il gioco cooperativo,Opciones de cooperativo
Enable Scoreboard,SCRBRDMNU_ENABLE,,Abilita la tabella punteggio,Abilita la tabella punteggio,Activar marcador
Header Color,SCRBRDMNU_HEADERCOLOR,,Colore della testata,Colore della testata,Color de cabecera
Your Player Color,SCRBRDMNU_YOURCOLOR,,Colore del giocatore 'Tu',Colore del giocatore 'Tu',Color de tu jugador
Other Players' Color,SCRBRDMNU_OTHERPLAYERCOLOR,,Colore degli altri giocatori,Colore degli altri giocatori,Color de otros jugadores
Deathmatch Options,SCRBRDMNU_DEATHMATCH,,Opzioni deathmatch,Opzioni deathmatch,Opciones modo a muerte
Team Deathmatch Options,SCRBRDMNU_TEAMDEATHMATCH,,Opzioni deathmatch a squadra,Opzioni deathmatch a squadra,Opciones modo a muerte por equipos
,,,,,
Alternative HUD,ALTHUDMNU_TITLE,,HUD alternativo,HUD alternativo,HUD alternativo
Enable alternative HUD,ALTHUDMNU_ENABLE,,Abilita HUD alternativo,Abilita HUD alternativo,Activar HUD alternativo
Show secret count,ALTHUDMNU_SHOWSECRETS,,Mostra il conteggio dei segreti,Mostra il conteggio dei segreti,Mostrar cont. de secretos
Show monster count,ALTHUDMNU_SHOWMONSTERS,,Mostra il conteggio dei mostri,Mostra il conteggio dei mostri,Mostrar cont. de monstruos
Show item count,ALTHUDMNU_SHOWITEMS,,Mostra il conteggio degli oggetti,Mostra il conteggio degli oggetti,Mostrar cont. de objetos
Show stamina and accuracy,ALTHUDMNU_SHOWSTATS,,Mostra stamina e accuratezza,Mostra stamina e accuratezza,Mostrar resistencia/precisión
Show berserk,ALTHUDMNU_SHOWBERSERK,,Mostra il berserk,Mostra il berserk,Mostrar berserker
Show weapons,ALTHUDMNU_SHOWWEAPONS,,Mostra le armi,Mostra le armi,Mostrar armas
Show ammo for,ALTHUDMNU_SHOWAMMO,,Mostra le munizioni per,Mostra le munizioni per,Mostrar munición para
Show time,ALTHUDMNU_SHOWTIME,,Mostra il tempo,Mostra il tempo,Mostrar tiempo
Time color,ALTHUDMNU_TIMECOLOR,,Colore del tempo,Colore del tempo,Color del tiempo
Show network latency,ALTHUDMNU_SHOWLAG,,Mostra la latenza del network,Mostra la latenza del network,Mostrar latencia de red
Ammo display order,ALTHUDMNU_AMMOORDER,,Ordine mostra delle munizioni,Ordine mostra delle munizioni,Orden vista de munición
Red ammo display below %,ALTHUDMNU_AMMORED,,Contatore delle munizioni di colore rosso sotto,Contatore delle munizioni di colore rosso sotto,Porcent. de munición en rojo
Yellow ammo display below %,ALTHUDMNU_AMMOYELLOW,,Contatore delle munizioni di colore giallo sotto,Contatore delle munizioni di colore giallo sotto,Porcent. de munición en amarillo
Red health display below,ALTHUDMNU_HEALTHRED,,Contatore della salute di colore rosso sotto,Contatore della salute di colore rosso sotto,Porcent. de salud en rojo
Yellow health display below,ALTHUDMNU_HEALTHYELLOW,,Contatore della salute di colore giallo sotto,Contatore della salute di colore giallo sotto,Porcent. de salud en amarillo
Green health display below,ALTHUDMNU_HEALTHGREEN,,Contatore della salute di colore verde sotto,Contatore della salute di colore verde sotto,Porcent. de salud en verde
Red armor display below,ALTHUDMNU_ARMORRED,,Contatore dell'armatura di colore rosso sotto,Contatore dell'armatura di colore rosso sotto,Porcent. de blindaje en rojo
Yellow armor display below,ALTHUDMNU_ARMORYELLOW,,Contatore dell'armatura di colore giallo sotto,Contatore dell'armatura di colore giallo sotto,Porcent. de blindaje en amarillo
Green armor display below,ALTHUDMNU_ARMORGREEN,,Contatore dell'armatura di colore verde sotto,Contatore dell'armatura di colore verde sotto,Porcent. de blindaje en verde
Alternative Automap HUD,ALTHUDMNU_AUTOMAPHUD,,HUD automappa alternativo,HUD automappa alternativo,HUD alternativo del automapa
Map title color,ALTHUDMNU_TITLECOLOR,,Colore titolo mappa,Colore titolo mappa,Color del título del mapa
Map time color,ALTHUDMNU_MAPTIMECOLOR,,Colore tempo mappa,Colore tempo mappa,Color del tiempo del mapa
Hub time color,ALTHUDMNU_HUBTIMECOLOR,,Colore tempo hub di mappe,Colore tempo hub di mappe,Color del tiempo del nodo
Total time color,ALTHUDMNU_TOTALTIMECOLOR,,Colore tempo totale,Colore tempo totale,Color del tiempo total
Coordinate color,ALTHUDMNU_COORDINATECOLOR,,Colore coordinate,Colore coordinate,Color de coordenadas
Coordinate mode,ALTHUDMNU_COORDINATEMODE,,Modalità coordinate,Modalità coordinate,Modo de coordenadas
Statistics name color,ALTHUDMNU_STATSNAMECOLOR,,Colore nome statistica,Colore nome statistica,Color del nombre de estadísticas
Statistics color,ALTHUDMNU_STATSCOLOR,,Colore contatore statistica,Colore contatore statistica,Color de las estadísticas
,,,,,
Rendering Interpolation,DSPLYMNU_CAPFPS,,Interpolazione grafica,Interpolazione grafica,Interpolación de renderizado
Transparency render mode,DSPLYMNU_BLENDMETHOD,,Modalità della resa grafica della trasparenza,Modalità della resa grafica della trasparenza,Modo de renderizado de transparencia
Screen wipe style,DSPLYMNU_WIPETYPE,,Stile della pulizia dello schermo,Stile della pulizia dello schermo,Transición de pantalla
Show ENDOOM screen,DSPLYMNU_SHOWENDOOM,,Mostra la schermata ENDOOM,Mostra la schermata ENDOOM,Mostrar pantalla ENDOOM
Blood Flash Intensity,DSPLYMNU_BLOODFADE,,Intensità Bagliore Sangue,Intensità Bagliore Sangue,Intensidad del destello al ser atacado
Pickup Flash Intensity,DSPLYMNU_PICKUPFADE,,Intensità Bagliore Raccolta,Intensità Bagliore Raccolta,Intensidad del destello al coger algo
Underwater Blend Intensity,DSPLYMNU_WATERFADE,,Intensità Blend sott'acqua,Intensità Blend sott'acqua,Intensidad Color Sumergido
Sky render mode,DSPLYMNU_SKYMODE,,Modalità resa grafica del cielo,Modalità resa grafica del cielo,Modo de renderizado del cielo
Linear skies,DSPLYMNU_LINEARSKY,,Cieli lineari,Cieli lineari,Cielo lineal
Fullbright overrides sector color,DSPLYMNU_GZDFULLBRIGHT,,Luce piena sovrappone il colore del settore,Luce piena sovrappone il colore del settore,Brillo máximo anula color del sector
Scale fuzz effect,DSPLYMNU_SCALEFUZZ,,Scala l'effetto di fuzz,Scala l'effetto di fuzz,Escala de efecto fuzz
Use fuzz effect,DSPLYMNU_DRAWFUZZ,,Usa l'effetto di fuzz,Usa l'effetto di fuzz,Usar efecto fuzz
Classic Transparency,DSPLYMNU_OLDTRANS,,Trasparenza classica,Trasparenza classica,Transparencia clásica
Lost Soul translucency,DSPLYMNU_TRANSSOUL,,Trasparenza anima errante,Trasparenza anima errante,Traslucidez del Alma Errante
Use fake contrast,DSPLYMNU_FAKECONTRAST,,Usa il falso contrasto,Usa il falso contrasto,Usar falso contraste
Rocket Trails,DSPLYMNU_ROCKETTRAILS,,Scia del razzo,Scia del razzo,Rastro de cohetes
Blood Type,DSPLYMNU_BLOODTYPE,,Tipo di sangue,Tipo di sangue,Sangre chorreando
Bullet Puff Type,DSPLYMNU_PUFFTYPE,,Tipo di sbuffo del proiettile,Tipo di sbuffo del proiettile,Polvo por impacto de bala
,,,,,
,,,,,
Show player sprites,DSPLYMNU_PLAYERSPRITES,,Mostra gli sprite del giocatore,Mostra gli sprite del giocatore,Mostrar «sprites» del jugador
Death camera,DSPLYMNU_DEATHCAM,,Telecamera all'atto della morte,Telecamera all'atto della morte,Muerte del jugador en tercera persona
Teleporter zoom,DSPLYMNU_TELEZOOM,,Zoom telecamera,Zoom telecamera,Zoom en teletransporte
Earthquake shake intensity,DSPLYMNU_QUAKEINTENSITY,,Intensità vibrazione terremoto,Intensità vibrazione terremoto,Intensidad del terremoto
Interpolate monster movement,DSPLYMNU_NOMONSTERINTERPOLATION,,Interpola il movimento dei mostri,Interpola il movimento dei mostri,Interpolar movimiento de los monstruos
Menu dim,DSPLYMNU_MENUDIM,,Offuscamento menu,Offuscamento menu,Atenuación del menú
Dim color,DSPLYMNU_DIMCOLOR,,Colore offuscamento,Colore offuscamento,Color de la atenuación
View bob amount while moving,DSPLYMNU_MOVEBOB,,Ammontare di bob di movimento,Ammontare di bob di movimento,Cantidad de balanceo al moverse
View bob amount while not moving,DSPLYMNU_STILLBOB,,Ammontare di bob di movimento da fermo,Ammontare di bob di movimento da fermo,Cantidad de balanceo al no moverse
Weapon bob speed,DSPLYMNU_BOBSPEED,,Velocità di bob dell'arma,Velocità di bob dell'arma,Velocidad de balanceo de Arma
,,,,,
Scaling Options,SCALEMNU_TITLE,,Opzioni di scala,Opzioni di scala,Opciones de escalado
Overrides for above setting,SCALEMNU_OVERRIDE,,Sovrascritture per i settaggi sopra,Sovrascritture per i settaggi sopra,Anular ajuste anterior
Messages,SCALEMNU_MESSAGES,,Messaggi,Messaggi,Mensajes
Console,SCALEMNU_CONSOLE,,,,Consola
Status bar,SCALEMNU_STATBAR,,Barra di stato,Barra di stato,Barra de estado
Fullscreen HUD,SCALEMNU_HUD,,HUD a pieno schermo,HUD a pieno schermo,HUD de pantalla completa
Alternative HUD,SCALEMNU_ALTHUD,,HUD alternativo,HUD alternativo,HUD alternativo
HUD preserves aspect ratio,SCALEMNU_HUDASPECT,,HUD preserva le proporzioni,HUD preserva le proporzioni,HUD conserva la rel. de aspecto
Use default scale,SCALEMNU_USEUI,,Usa la scala di default,Usa la scala di default,Usar escalado por defecto
Scale to fullscreen,SCALEMNU_USEFS,,Scala a pieno schermo,Scala a pieno schermo,Escalar a pant. completa
Adapt to screen size,SCALEMNU_ADAPT,,Adatta alla dimensione della schermata,Adatta alla dimensione della schermata,Adaptar al tamaño de pantalla
,,,,,
HUD Options,HUDMNU_TITLE,,Opzioni HUD,Opzioni HUD,Opciones del HUD
Alternative HUD,HUDMNU_ALTHUD,,HUD alternativo,HUD alternativo,HUD alternativo
Message Options,HUDMNU_MESSAGE,,Opzioni messaggi,Opzioni messaggi,Opciones de mensajes
User interface scale,HUDMNU_UISCALE,,Scala l'interfaccia utente,Scala l'interfaccia utente,Escala de la interfaz de usuario
Force default crosshair,HUDMNU_FORCECROSSHAIR,,Forza il mirino di default,Forza il mirino di default,Forzar retícula por defecto
Grow crosshair when picking up items,HUDMNU_GROWCROSSHAIR,,Accresci il mirino quando si raccolgono oggetti,Accresci il mirino quando si raccolgono oggetti,Aumentar retícula al obtener obj.
Display nametags,HUDMNU_NAMETAGS,,Mostra le targhette identificative,Mostra le targhette identificative,Mostrar etiquetas
Nametag color,HUDMNU_NAMETAGCOLOR,,Colore targhetta identificativa,Colore targhetta identificativa,Color de las etiquetas
Use old ouch mug shot formula,HUDMNU_OLDOUCH,,Mostra la formula originale del viso 'ouch',Mostra la formula originale del viso 'ouch',Usar formula antigua de foto de daño
Hexen weapon flashes,HUDMNU_HEXENFLASHES,,Bagliori armi Hexen,Bagliori armi Hexen,Destello armas Hexen
Poison damage flashes,HUDMNU_POISONFLASHES,,Bagliori danno da veleno,Bagliori danno da veleno,Destello daño por veneno
Ice death flashes,HUDMNU_ICEFLASHES,,Bagliori morte da ghiaccio,Bagliori morte da ghiaccio,Destello muerte por hielo
Poison Buildup flashes,HUDMNU_HAZARDFLASHES,,Bagliori danno accumulato da veleno,Bagliori danno accumulato da veleno,Destello acumulación de veneno
Scaling Options,HUDMNU_SCALEOPT,,Opzioni di scala,Opzioni di scala,Opciones de escalado
